Nuclear,Wind,Hydroelectric,Oil and Gas,Coal,Solar,Biomass
1381,360,2305,1068,1186,0,42
688,337,2816,515,725,0,33
1350,411,1185,1045,1856,583,41
1405,1461,1998,1578,1109,0,81
695,408,3160,573,853,63,48
1381,379,3033,485,833,50,53
1407,1696,1912,914,1016,0,58
1420,1597,890,1237,1370,0,48
1357,129,1567,1471,1405,195,55
1419,1055,1519,1482,1622,165,59
1417,-10,1487,410,694,64,51
1386,301,506,345,470,863,47
695,1374,2835,417,1045,212,36
1321,512,1502,918,931,68,45
1419,454,1339,1818,1168,0,76
1400,1865,1993,1484,1193,0,72
673,122,2287,1275,1088,581,49
1371,1227,948,479,1228,535,53
1392,1020,1553,1498,1245,0,72
1345,694,1979,1198,603,226,54
1334,2585,2102,1320,880,92,40
1413,1008,1610,856,1004,0,53
688,233,3624,1156,1257,48,72
1398,213,3215,952,620,0,30
1428,110,1914,790,719,523,52
1307,40,1656,468,509,911,65
697,721,870,637,1367,0,36
1372,2530,1946,749,1072,419,66
1357,177,1231,1144,1089,0,34
1377,203,1150,1155,707,891,52
1355,59,1464,1279,1295,0,64
1378,43,2286,1650,1065,245,68
1381,188,1534,1345,959,0,50
1415,1111,881,1696,1153,0,66
1328,999,2917,622,2105,329,57
687,98,3262,432,1015,0,30
692,201,2873,1019,803,18,35
1380,319,1103,1491,843,473,70
1417,499,883,1473,1381,67,64
688,273,1672,1285,1292,4,60
1365,606,2571,1719,753,0,55
1410,154,2762,992,1847,3,63
1347,189,1321,1087,711,625,32
1328,176,1311,1061,811,0,48
1192,815,2804,1226,1362,0,42
1357,464,1612,1029,1086,4,30
1392,2577,1662,1707,1007,0,66
677,372,1475,1190,909,0,27
1366,1312,1016,1076,731,0,44
1317,992,1606,1067,1128,675,63
1390,234,2585,979,1606,398,51
1383,120,1510,1262,869,0,71
1389,480,3370,250,590,126,27
672,146,3465,450,1885,0,30
1294,370,1665,1132,651,426,27
1357,235,1395,1007,1067,219,32
696,-3,2386,1293,1187,602,64
1359,1022,2100,1864,1981,30,57
1200,486,1867,988,1282,0,68
1428,1591,943,973,1419,140,51
1401,2198,2815,1143,1180,433,77
1308,1129,737,912,754,1214,48
1356,911,1076,1178,672,0,30
1407,93,1866,1231,1124,168,81
1373,571,2172,1459,1046,168,56
1336,574,1912,1390,1607,0,46
1359,1007,2671,732,1244,256,84
1344,631,1130,1284,1281,0,59
1334,22,998,1260,750,0,49
1406,296,2134,1669,1467,204,65
1356,549,1674,1303,1537,0,61
1350,309,2399,297,551,0,51
1426,1382,1778,1329,1567,0,57
668,117,2097,810,1480,133,59
1360,340,1711,1516,1813,753,66
1430,2241,1719,1155,1019,0,68
1332,1161,1529,1174,879,0,51
1341,339,2420,1232,1448,0,61
681,934,3013,491,1122,616,32
1388,159,1029,1511,1579,0,72
1408,369,1859,1276,1149,0,79
694,177,3354,564,937,300,31
1369,252,1292,1254,1181,534,63
1417,916,2024,660,1249,0,77
1372,138,2850,1892,1855,184,56
1344,1,1325,1478,1888,224,56
1362,1820,2206,881,946,0,33
1391,858,1249,1112,1164,377,32
1394,1644,1318,878,987,0,50
1265,249,1360,1102,876,1109,48
1378,638,2035,1522,1143,168,76
668,956,3364,438,1022,0,24
1372,481,1699,1254,1069,137,62
1390,358,2107,963,1407,104,78
1374,237,2630,996,1170,446,54
702,714,1960,1338,1374,0,64
684,103,1496,356,980,0,46
1425,1549,1591,1566,854,510,64
1378,344,1060,1611,964,0,37
1358,312,1759,1282,1174,94,61
1418,1276,1522,795,1107,24,35
1368,548,1499,1219,1514,0,53
1403,207,2383,1195,1496,420,66
1385,986,1297,713,990,132,60
1425,1384,1541,1551,1018,0,71
1304,824,1324,1071,834,1168,50
1411,612,2145,1119,1356,353,60
1351,14,1903,1325,940,372,73
676,521,2254,797,1222,196,63
696,2440,1792,1638,1448,0,68
1406,23,2912,1484,1268,0,72
1322,547,1270,1146,805,673,52
